countries_row	years_column	value
21	53	14.76937103
22	53	14.6
23	53	16.21496391
24	53	13.9
25	53	20.4
26	53	18.5
27	53	26.7
1	54	13.9
2	54	14.11542606
3	54	19.2
4	54	15.28750324
5	54	15.86589432
6	54	16.43510818
7	54	17.3
8	54	17.5337677
9	54	19
10	54	18.55900764
11	54	16.7
12	54	19.4985199
13	54	17.4
14	54	18.5
15	54	20.3
16	54	21.27788544
17	54	21.7373333
18	54	18.5
19	54	22.71468544
20	54	23.23564911
21	54	22
22	54	24.3286438
23	54	24.89466667
24	54	25.46970177
25	54	27.9
26	54	31.1
27	54	27.21933746
1	55	30.35783195
2	55	30.71880531
3	55	28.2
4	55	31.43667793
5	55	28.1
6	55	32.13007736
7	55	32.45994949
8	55	32.7745285
9	55	33.07075119
10	55	38.4
11	55	33.59741974
12	55	33.83086777
13	55	34.2
14	55	34.26678467
15	55	34.48138046
16	55	34.70182037
17	55	37.2
18	55	35.18447876
19	55	35.45730972
20	55	43.36908187
21	55	36.06305695
22	55	36.9
23	55	36.72887802
24	55	37.07681274
25	55	32.3
26	55	33.7
27	55	38.14513779
